Time,I,Q
781,100,603
782,91,578
783,-87,436
784,-159,346
785,-406,100
786,-473,38
787,-582,-64
788,-592,-54
789,-457,51
790,-393,117
791,-160,339
792,-73,413
793,69,562
794,102,581
795,106,599
796,90,581
797,52,539
798,34,526
799,-3,492
800,-14,502
801,-6,492
802,6,487
803,3,468
804,14,451
805,3,461
806,7,466
807,14,530
808,24,561
809,50,648
810,41,670
811,54,641
812,54,595
813,-21,355
814,-25,224
815,-86,-162
816,-100,-285
817,-97,-555
818,-62,-610
819,52,-576
820,106,-517
821,314,-274
822,375,-180
823,513,45
824,529,76
825,542,35
826,492,-20
827,333,-248
828,270,-336
829,57,-536
830,-4,-571
831,-165,-553
832,-196,-508
833,-294,-304
834,-320,-236
835,-376,-25
836,-429,37
837,-526,116
838,-556,124
839,-652,99
840,-685,70
841,-647,14
842,-617,11
843,-421,-18
844,-333,-7
845,-59,-10
846,48,1
847,285,-1
848,366,-10
849,546,-15
850,604,-20
851,715,-31
852,740,-24
853,744,-18
854,695,-19
855,510,-15
856,397,-7
857,12,8
858,-137,8
859,-493,19
860,-575,23
861,-614,16
862,-564,28
863,-227,4
864,-66,-15
865,378,-46
866,487,-45
867,643,-49
868,627,-35
869,364,16
870,222,32
871,-212,102
872,-352,128
873,-605,88
874,-654,42
875,-604,-141
876,-545,-230
877,-319,-450
878,-237,-512
879,-11,-598
880,49,-598
881,244,-432
882,308,-363
883,463,-125
884,491,-39
885,551,67
886,553,64
887,434,-60
888,346,-124
889,101,-348
890,20,-420
891,-132,-546
892,-125,-557
893,0,-514
894,91,-474
895,396,-287
896,486,-227
897,649,-41
898,634,1
899,447,111
900,324,120
901,-97,136
902,-220,124
903,-532,60
904,-592,34
905,-612,-81
906,-562,-137
907,-369,-279
908,-290,-322
909,-60,-437
910,-5,-472
911,83,-559
912,102,-584
913,122,-624
914,112,-648
915,48,-619
916,10,-603
917,-90,-459
918,-142,-399
919,-308,-154
920,-356,-68
921,-494,95
922,-521,129
923,-516,43
924,-506,-16
925,-360,-284
926,-306,-401
927,-107,-606
928,-43,-630
929,61,-551
930,78,-465
931,96,-80
932,81,72
933,40,443
934,34,532
935,-27,599
936,-18,549
937,-21,292
938,-16,161
939,12,-235
940,8,-346
941,-2,-635
942,-16,-693
943,-47,-772
944,-55,-770
945,-68,-687
946,-69,-647
947,-36,-452
948,-10,-379
949,60,-103
950,81,2
